Silverstone,Lewis Hamilton,Mercedes W11,1:24.303
Monza,Lewis Hamilton,Mercedes W11,1:18.887
Suzuka,Valtteri Bottas,Mercedes W10,1:27.064
Spa-Francorchamps,Lewis Hamilton,Mercedes W11,1:41.252
Interlagos,Max Verstappen,Red Bull RB15,1:10.620
Baku,Charles Leclerc,Ferrari SF21,1:41.218
